dataset,file,outcome,method,cost_cents,time_s,verified,dest
Literature,15,DISPROVED,plausible_sql,0.1639,13.9,yes,Bench/Literature/CounterExample/15.lean
Literature,11_fix,DISPROVED,plausible_sql,0.1983,14.6,yes,Bench/Literature/CounterExample/11_fix.lean
Literature,12,DISPROVED,plausible_sql,0.2172,16.3,yes,Bench/Literature/CounterExample/12.lean
Literature,13,DISPROVED,plausible_sql,0.1936,19.4,yes,Bench/Literature/CounterExample/13.lean
Literature,1,PROVED,llm,0.2153,18.5,yes,Bench/Literature/Proven/1.lean
Literature,14,PROVED,llm,0.2592,20.9,yes,Bench/Literature/Proven/14.lean
Literature,17,PROVED,sql_equiv,0.0,4.4,yes,Bench/Literature/Proven/17.lean
Literature,0,PROVED,llm,0.2251,24.1,yes,Bench/Literature/Proven/0.lean
Literature,21,PROVED,sql_equiv,0.0,4.4,yes,Bench/Literature/Proven/21.lean
Literature,18,PROVED,llm,0.2148,12.7,yes,Bench/Literature/Proven/18.lean
Literature,10,PROVED,llm,0.2241,29.5,yes,Bench/Literature/Proven/10.lean
Literature,16,PROVED,llm,0.2319,16.9,yes,Bench/Literature/Proven/16.lean
Literature,19,PROVED,llm,0.2166,13.6,yes,Bench/Literature/Proven/19.lean
Literature,22,PROVED,sql_equiv,0.0,4.7,yes,Bench/Literature/Proven/22.lean
Literature,2,PROVED,llm,0.216,12.4,yes,Bench/Literature/Proven/2.lean
Literature,20,PROVED,llm,0.2164,12.3,yes,Bench/Literature/Proven/20.lean
Literature,23,PROVED,sql_equiv,0.0,4.6,yes,Bench/Literature/Proven/23.lean
Literature,24,PROVED,sql_equiv,0.0,4.5,yes,Bench/Literature/Proven/24.lean
Literature,25,PROVED,sql_equiv,0.0,5.1,yes,Bench/Literature/Proven/25.lean
Literature,27,PROVED,sql_equiv,0.0,4.5,yes,Bench/Literature/Proven/27.lean
Literature,30,PROVED,sql_equiv,0.0,6.0,yes,Bench/Literature/Proven/30.lean
Literature,28,PROVED,llm,0.223,10.4,yes,Bench/Literature/Proven/28.lean
Literature,32,PROVED,sql_equiv,0.0,4.5,yes,Bench/Literature/Proven/32.lean
Literature,29,PROVED,llm,0.214,11.6,yes,Bench/Literature/Proven/29.lean
Literature,3,PROVED,llm,0.2169,12.1,yes,Bench/Literature/Proven/3.lean
Literature,31,PROVED,llm,0.225,11.2,yes,Bench/Literature/Proven/31.lean
Literature,26,PROVED,llm,0.293,17.9,yes,Bench/Literature/Proven/26.lean
Literature,36,PROVED,sql_equiv,0.0,5.0,yes,Bench/Literature/Proven/36.lean
Literature,37,PROVED,sql_equiv,0.0,4.4,yes,Bench/Literature/Proven/37.lean
Literature,33,PROVED,llm,0.2272,14.2,yes,Bench/Literature/Proven/33.lean
Literature,35,PROVED,llm,0.2029,12.2,yes,Bench/Literature/Proven/35.lean
Literature,34,PROVED,llm,0.2222,12.7,yes,Bench/Literature/Proven/34.lean
Literature,41,PROVED,sql_equiv,0.0,6.7,yes,Bench/Literature/Proven/41.lean
Literature,38,DISPROVED,plausible_sql,0.1881,39.2,yes,Bench/Literature/CounterExample/38.lean
Literature,45,DISPROVED,plausible_sql,0.214,25.0,yes,Bench/Literature/CounterExample/45.lean
Literature,40,PROVED,sql_equiv,0.0,21.5,yes(safe),Bench/Literature/Proven/40.lean
Literature,44,DISPROVED,plausible_sql,0.2373,42.1,yes,Bench/Literature/CounterExample/44.lean
Literature,39,DISPROVED,plausible_sql,0.2257,56.0,yes,Bench/Literature/CounterExample/39.lean
Literature,42,ELAB_ERROR,,0.0,61.3,,
Literature,5,DISPROVED,plausible_sql,0.2196,19.1,yes,Bench/Literature/CounterExample/5.lean
Literature,46,ELAB_ERROR,,0.0,66.5,,
Literature,47,ELAB_ERROR,,0.0,61.7,,
Literature,50,DISPROVED,plausible_sql,0.2189,38.4,yes,Bench/Literature/CounterExample/50.lean
Literature,43,DISPROVED,plausible_sql,0.2755,100.3,yes,Bench/Literature/CounterExample/43.lean
Literature,51,DISPROVED,plausible_sql,0.2115,44.5,yes,Bench/Literature/CounterExample/51.lean
Literature,56,PROVED,sql_equiv,0.0,7.3,yes,Bench/Literature/Proven/56.lean
Literature,4,PROVED,llm,2.0336,150.7,yes,Bench/Literature/Proven/4.lean
Literature,55,PROVED,sql_equiv,0.0,20.7,yes(safe),Bench/Literature/Proven/55.lean
Literature,52,DISPROVED,plausible_sql,0.2291,52.9,yes,Bench/Literature/CounterExample/52.lean
Literature,59,DISPROVED,plausible_sql,0.1828,14.1,yes,Bench/Literature/CounterExample/59.lean
Literature,6,PROVED,llm,0.231,17.7,yes,Bench/Literature/Proven/6.lean
Literature,60,PROVED,sql_equiv,0.0,5.0,yes(safe),Bench/Literature/Proven/60.lean
Literature,54,DISPROVED(unverified-artifact),plausible_sql,0.2052,87.7,NO,
Literature,53,DISPROVED(unverified-artifact),plausible_sql,0.2209,92.3,NO,
Literature,57,ELAB_ERROR,,0.0,61.8,,
Literature,8,DISPROVED,plausible_sql,0.1742,10.5,yes,Bench/Literature/CounterExample/8.lean
Literature,63,DISPROVED,plausible_sql,0.2632,26.6,yes,Bench/Literature/CounterExample/63.lean
Literature,9,DISPROVED,plausible_sql,0.207,13.4,yes,Bench/Literature/CounterExample/9.lean
Calcite,1,PROVED,sql_equiv,0.0,4.4,yes,Bench/Calcite/Proven/1.lean
Literature,49,INCONCLUSIVE,exhausted,2.4108,191.6,,
Literature,58,DISPROVED,plausible_sql,0.2526,94.3,yes,Bench/Literature/CounterExample/58.lean
Literature,61,DISPROVED(unverified-artifact),plausible_sql,0.5802,63.9,NO,
Calcite,102,PROVED,sql_equiv,0.0,4.4,yes,Bench/Calcite/Proven/102.lean
Literature,7,PROVED,llm,1.0572,72.4,yes,Bench/Literature/Proven/7.lean
Literature,62,DISPROVED(unverified-artifact),plausible_sql,0.2498,85.8,NO,
Calcite,105,PROVED,sql_equiv,0.0,4.7,yes,Bench/Calcite/Proven/105.lean
Calcite,106,INCONCLUSIVE,exhausted,0.6819,21.5,,
Calcite,108,PROVED,sql_equiv,0.0,4.6,yes,Bench/Calcite/Proven/108.lean
Calcite,101,DISPROVED(unverified-artifact),plausible_sql,0.2533,89.3,NO,
Calcite,103,DISPROVED(unverified-artifact),plausible_sql,0.2235,110.7,NO,
Calcite,10,DISPROVED(unverified-artifact),plausible_sql,0.5112,131.9,NO,
Calcite,110,PROVED,sql_equiv,0.0,4.7,yes,Bench/Calcite/Proven/110.lean
Calcite,11,DISPROVED(unverified-artifact),plausible_sql,0.2444,36.9,NO,
Calcite,100,ELAB_ERROR,,0.0,174.0,,
Literature,48,INCONCLUSIVE,exhausted,5.1854,422.0,,
Calcite,113,ELAB_ERROR,,0.0,125.5,,
Calcite,112,ELAB_ERROR,,0.0,146.7,,
Calcite,111,ELAB_ERROR,,0.0,153.6,,
Calcite,114,ELAB_ERROR,,0.0,134.2,,
Calcite,115,ELAB_ERROR,,0.0,143.2,,
Calcite,116,ELAB_ERROR,,0.0,145.3,,
Calcite,117,ELAB_ERROR,,0.0,127.3,,
Calcite,118,ELAB_ERROR,,0.0,147.0,,
Calcite,122,PROVED,sql_equiv,0.0,4.6,yes,Bench/Calcite/Proven/122.lean
Calcite,12,INCONCLUSIVE,exhausted,1.6345,102.6,,
Calcite,124,DISPROVED,plausible_sql,0.2489,19.8,yes,Bench/Calcite/CounterExample/124.lean
Calcite,119,ELAB_ERROR,,0.0,209.4,,
Calcite,126,INCONCLUSIVE,exhausted,0.7524,26.3,,
Calcite,125,PROVED,llm,0.2419,33.6,yes,Bench/Calcite/Proven/125.lean
Calcite,123,ELAB_ERROR,,0.0,104.5,,
Calcite,121,DISPROVED(unverified-artifact),plausible_sql,0.6647,138.2,NO,
Calcite,107,INCONCLUSIVE,exhausted,6.6621,514.7,,
Calcite,128,INCONCLUSIVE,exhausted,0.7605,29.5,,
Calcite,129,DISPROVED(unverified-artifact),plausible_sql,0.2294,33.6,NO,
Calcite,132,ELAB_ERROR,,0.0,4.5,,
Calcite,104,INCONCLUSIVE,exhausted,6.9106,572.3,,
Calcite,130,PROVED,llm,0.4968,21.8,yes,Bench/Calcite/Proven/130.lean
Calcite,133,INCONCLUSIVE,exhausted,0.6894,19.8,,
Calcite,131,DISPROVED,plausible_sql,0.1886,29.5,yes,Bench/Calcite/CounterExample/131.lean
Calcite,135,PROVED,sql_equiv,0.0,6.0,yes(safe),Bench/Calcite/Proven/135.lean
Calcite,136,PROVED,sql_equiv,0.0,4.5,yes,Bench/Calcite/Proven/136.lean
Calcite,127,DISPROVED(unverified-artifact),plausible_sql,0.4758,98.3,NO,
Calcite,13,DISPROVED(unverified-artifact),plausible_sql,0.2248,96.7,NO,
Calcite,140,PROVED,sql_equiv,0.0,4.7,yes,Bench/Calcite/Proven/140.lean
Calcite,138,DISPROVED(unverified-artifact),plausible_sql,0.3161,63.1,NO,
Calcite,142,PROVED,sql_equiv,0.0,4.5,yes,Bench/Calcite/Proven/142.lean
Calcite,137,INCONCLUSIVE,exhausted,0.8854,97.6,,
Calcite,144,PROVED,sql_equiv,0.0,4.5,yes,Bench/Calcite/Proven/144.lean
Calcite,139,ELAB_ERROR,,0.0,98.5,,
Calcite,109,TIMEOUT,,0.0,700.1,,
Calcite,120,INCONCLUSIVE,exhausted,4.5963,370.2,,
Calcite,145,INCONCLUSIVE,exhausted,1.4392,88.7,,
Calcite,143,DISPROVED(unverified-artifact),plausible_sql,0.364,126.6,NO,
Calcite,148,DISPROVED,plausible_sql,0.4698,58.3,yes,Bench/Calcite/CounterExample/148.lean
Calcite,147,DISPROVED(unverified-artifact),plausible_sql,0.2259,74.5,NO,
Calcite,146,DISPROVED,plausible_sql,0.3509,134.9,yes,Bench/Calcite/CounterExample/146.lean
Calcite,152,INCONCLUSIVE,exhausted,0.7104,23.0,,
Calcite,134,INCONCLUSIVE,exhausted,3.7536,317.9,,
Calcite,15,DISPROVED(unverified-artifact),plausible_sql,0.8071,94.8,NO,
Calcite,155,PROVED,sql_equiv,0.0,4.7,yes,Bench/Calcite/Proven/155.lean
Calcite,150,DISPROVED,plausible_sql,0.3875,93.5,yes,Bench/Calcite/CounterExample/150.lean
Calcite,153,INCONCLUSIVE,exhausted,1.6999,115.2,,
Calcite,141,INCONCLUSIVE,exhausted,4.5116,340.0,,
Calcite,154,DISPROVED(unverified-artifact),plausible_sql,0.7526,100.3,NO,
Calcite,157,INCONCLUSIVE,exhausted,1.3394,79.9,,
Calcite,158,INCONCLUSIVE,exhausted,0.9632,47.4,,
Calcite,16,DISPROVED(unverified-artifact),plausible_sql,0.2301,26.6,NO,
Calcite,161,INCONCLUSIVE,exhausted,0.7702,31.0,,
Calcite,14,INCONCLUSIVE,exhausted,5.9684,448.0,,
Calcite,159,INCONCLUSIVE,exhausted,1.9824,132.6,,
Calcite,162,ELAB_ERROR,,0.0,102.9,,
Calcite,166,DISPROVED(unverified-artifact),plausible_sql,0.2814,62.1,NO,
Calcite,167,PROVED,llm,0.3018,17.2,yes,Bench/Calcite/Proven/167.lean
Calcite,164,INCONCLUSIVE,exhausted,1.7699,153.2,,
Calcite,168,PROVED,sql_equiv,0.0,5.4,yes(safe),Bench/Calcite/Proven/168.lean
Calcite,169,PROVED,sql_equiv,0.0,5.2,yes(safe),Bench/Calcite/Proven/169.lean
Calcite,163,DISPROVED(unverified-artifact),plausible_sql,0.2651,184.2,NO,
Calcite,151,INCONCLUSIVE,exhausted,5.3124,410.7,,
Calcite,170,PROVED,sql_equiv,0.0,5.5,yes(safe),Bench/Calcite/Proven/170.lean
Calcite,171,PROVED,sql_equiv,0.0,5.6,yes(safe),Bench/Calcite/Proven/171.lean
Calcite,172,PROVED,sql_equiv,0.0,5.0,yes(safe),Bench/Calcite/Proven/172.lean
Calcite,149,INCONCLUSIVE,exhausted,6.9538,498.8,,
Calcite,175,DISPROVED(unverified-artifact),plausible_sql,0.4232,61.6,NO,
Calcite,165,INCONCLUSIVE,exhausted,2.7706,225.6,,
Calcite,173,DISPROVED(unverified-artifact),plausible_sql,0.9936,98.7,NO,
Calcite,17,ELAB_ERROR,,0.0,130.3,,
Calcite,18,PROVED,sql_equiv,0.0,5.3,yes,Bench/Calcite/Proven/18.lean
Calcite,179,PROVED,llm,0.2309,13.6,yes,Bench/Calcite/Proven/179.lean
Calcite,156,INCONCLUSIVE,exhausted,6.5694,474.4,,
Calcite,177,INCONCLUSIVE,exhausted,1.1019,59.8,,
Calcite,181,PROVED,llm,0.2314,14.5,yes,Bench/Calcite/Proven/181.lean
Calcite,180,DISPROVED(unverified-artifact),plausible_sql,0.3558,44.5,NO,
Calcite,174,DISPROVED,plausible_sql,0.3668,165.6,yes,Bench/Calcite/CounterExample/174.lean
Calcite,183,DISPROVED,plausible_sql,0.3094,39.3,yes,Bench/Calcite/CounterExample/183.lean
Calcite,185,INCONCLUSIVE,exhausted,0.9502,44.4,,
Calcite,182,DISPROVED(unverified-artifact),plausible_sql,0.2806,87.2,NO,
Calcite,187,DISPROVED,plausible_sql,0.244,69.0,yes,Bench/Calcite/CounterExample/187.lean
Calcite,160,INCONCLUSIVE,exhausted,7.1932,504.1,,
Calcite,19,PROVED,sql_equiv,0.0,4.9,yes,Bench/Calcite/Proven/19.lean
Calcite,186,DISPROVED(unverified-artifact),plausible_sql,0.2271,81.5,NO,
Calcite,188,PROVED,llm,0.7843,55.9,yes,Bench/Calcite/Proven/188.lean
Calcite,189,DISPROVED(unverified-artifact),plausible_sql,0.5086,61.2,NO,
Calcite,194,ELAB_ERROR,,0.0,94.0,,
Calcite,178,DISPROVED(unverified-artifact),plausible_sql,3.1196,303.0,NO,
Calcite,193,ELAB_ERROR,,0.0,129.2,,
Calcite,190,ELAB_ERROR,,0.0,154.6,,
Calcite,196,INCONCLUSIVE,exhausted,0.7302,22.7,,
Calcite,192,ELAB_ERROR,,0.0,167.2,,
Calcite,191,ELAB_ERROR,,0.0,178.5,,
Calcite,195,INCONCLUSIVE,exhausted,1.07,65.3,,
Calcite,20,PROVED,sql_equiv,0.0,4.4,yes,Bench/Calcite/Proven/20.lean
Calcite,176,INCONCLUSIVE,exhausted,5.7252,437.6,,
Calcite,2,DISPROVED(unverified-artifact),plausible_sql,0.2856,63.5,NO,
Calcite,202,DISPROVED(unverified-artifact),plausible_sql,0.3437,32.9,NO,
